自增ID,租户ID,资产ID,智能耳标编号,记录日期,记录人,资产月龄,资产体重,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间,状态（0预留）
8222,4,3799,2210000455,2025-04-23,付勇斌,9.0,620.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8223,4,3800,2210000456,2025-04-23,付勇斌,9.0,470.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8224,4,3801,2210000457,2025-04-23,付勇斌,9.0,460.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8225,4,3802,2210000458,2025-04-23,付勇斌,9.0,570.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8226,4,3803,2210000459,2025-04-23,付勇斌,9.0,440.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8227,4,3804,2210000460,2025-04-23,付勇斌,9.0,550.0,17,付勇斌,6,2025-04-23 16:03:57,,,,0
8228,4,3805,2210000461,2025-04-23,付勇斌,9.0,635.0,17,付勇斌,6,2025-04-23 16:03:57,,,,0
8229,4,3806,2210000462,2025-04-23,付勇斌,9.0,510.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8230,4,3807,2210000463,2025-04-23,付勇斌,9.0,530.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8231,4,3808,2210000464,2025-04-23,付勇斌,9.0,610.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8232,4,3809,2210000465,2025-04-23,付勇斌,9.0,540.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8233,4,3810,2210000466,2025-04-23,付勇斌,9.0,535.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8234,4,3811,2210000467,2025-04-23,付勇斌,9.0,635.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8235,4,3812,2210000468,2025-04-23,付勇斌,9.0,630.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
